                      Inf	   5.0248586345482615e-01	   2.8299714056811587e-01	   1.9638490157671720e-01	   2.9270307327927264e-01	  -4.5690099937756190e-02	   7.5799224688358077e-02	   3.9584257082872248e-01	   1.9559397570771894e-01	   2.1922684493859612e-01	   3.3755000225446585e-01	
   5.0248586345482615e-01	                      Inf	   2.9075843671344304e-01	   1.0818061371745570e-01	   9.2706064716183020e-02	   1.2166026916904621e-01	   3.0021719594901008e-01	   3.2927618687841709e-01	   3.5618328232938090e-02	   8.1783759919349164e-02	   1.7405472025687541e-01	
   2.8299714056811587e-01	   2.9075843671344304e-01	                      Inf	   3.6637744569364444e-02	   2.3790091197845344e-02	   2.8841774954617089e-01	   8.6095319697857969e-02	   2.7031947352252711e-01	  -2.4478389177316418e-01	   2.2976308812269644e-01	   1.0546228218195637e-01	
   1.9638490157671720e-01	   1.0818061371745570e-01	   3.6637744569364444e-02	                      Inf	   5.1157516188278074e-01	  -2.3173091140780398e-02	   3.9858829431007714e-02	   3.5239108951098569e-01	  -7.1735604118858154e-02	   2.1668665043252583e-01	   1.7505103011972167e-01	
   2.9270307327927264e-01	   9.2706064716183020e-02	   2.3790091197845344e-02	   5.1157516188278074e-01	                      Inf	  -2.0625651613519322e-01	   9.4348870162598339e-02	   4.1108463629866987e-01	   4.4663523292039009e-01	   1.0714114655923741e-01	   2.5914127408205068e-01	
  -4.5690099937756190e-02	   1.2166026916904621e-01	   2.8841774954617089e-01	  -2.3173091140780398e-02	  -2.0625651613519322e-01	                      Inf	   1.8380953444490161e-01	   1.0301306075054487e-01	  -2.7620304149074548e-01	   3.1080506141009456e-01	   1.2378788186248603e-01	
   7.5799224688358077e-02	   3.0021719594901008e-01	   8.6095319697857969e-02	   3.9858829431007714e-02	   9.4348870162598339e-02	   1.8380953444490161e-01	                      Inf	   2.0681363521145435e-01	   1.4467529817989921e-01	   9.1049339068100796e-02	   3.2448952292391843e-02	
   3.9584257082872248e-01	   3.2927618687841709e-01	   2.7031947352252711e-01	   3.5239108951098569e-01	   4.1108463629866987e-01	   1.0301306075054487e-01	   2.0681363521145435e-01	                      Inf	   2.9259612393609025e-01	   3.5495155634375719e-01	   1.7548529602486529e-01	
   1.9559397570771894e-01	   3.5618328232938090e-02	  -2.4478389177316418e-01	  -7.1735604118858154e-02	   4.4663523292039009e-01	  -2.7620304149074548e-01	   1.4467529817989921e-01	   2.9259612393609025e-01	                      Inf	   1.4561343185705958e-02	   7.5809059376557297e-02	
   2.1922684493859612e-01	   8.1783759919349164e-02	   2.2976308812269644e-01	   2.1668665043252583e-01	   1.0714114655923741e-01	   3.1080506141009456e-01	   9.1049339068100796e-02	   3.5495155634375719e-01	   1.4561343185705958e-02	                      Inf	   6.0137650359176387e-01	
   3.3755000225446585e-01	   1.7405472025687541e-01	   1.0546228218195637e-01	   1.7505103011972167e-01	   2.5914127408205068e-01	   1.2378788186248603e-01	   3.2448952292391843e-02	   1.7548529602486529e-01	   7.5809059376557297e-02	   6.0137650359176387e-01	                      Inf	
